sector,policy_domain,economic_domain,regulatory_authority,default_stakeholder_groups
Banking & Financial Services,Financial Regulation,Financial Services,Reserve Bank of India (RBI),"Banks,NBFCs,Borrowers,Depositors"
Capital Markets,Financial Regulation,Financial Services,Securities and Exchange Board of India (SEBI),"Investors,Brokers,Listed Companies,Mutual Funds"
Insurance,Financial Regulation,Financial Services,Insurance Regulatory and Development Authority (IRDAI),"Policyholders,Insurance Companies,Agents"
Technology & IT Services,Technology Policy,Information Technology,Ministry of Electronics and Information Technology (MeitY),"IT Companies,Startups,Software Developers"
Data Protection & Privacy,Data Governance,Information Technology,Data Protection Board of India (DPBI),"Data Principals,Data Fiduciaries,Tech Companies"
Telecommunications,Telecom Policy,Infrastructure,Telecom Regulatory Authority of India (TRAI),"Telecom Operators,Subscribers,Equipment Manufacturers"
Healthcare & Pharmaceuticals,Public Health,Healthcare,Central Drugs Standard Control Organisation (CDSCO),"Patients,Pharmaceutical Companies,Hospitals,Doctors"
Infrastructure,Infrastructure Development,Infrastructure,Ministry of Road Transport and Highways,"Developers,Contractors,Logistics Companies,Commuters"
Energy,Energy Policy,Utilities,Central Electricity Regulatory Commission (CERC),"Power Producers,Discoms,Consumers,Industrial Users"
Agriculture,Agricultural Policy,Agriculture,Ministry of Agriculture and Farmers Welfare,"Farmers,Agribusinesses,Consumers"
Manufacturing,Industrial Policy,Manufacturing,Ministry of Commerce and Industry,"Manufacturers,MSMEs,Industrial Workers"
Consumer Goods & FMCG,Consumer Protection,Consumer Goods,Bureau of Indian Standards (BIS),"Consumers,Retailers,FMCG Companies"
Environment,Environmental Policy,Environment,Ministry of Environment Forest and Climate Change,"General Public,Industries,NGOs"
Education,Education Policy,Services,University Grants Commission (UGC),"Students,Teachers,Educational Institutions"
Media & Entertainment,Media Policy,Services,Ministry of Information and Broadcasting,"Broadcasters,Content Creators,Viewers"
Defence & Aerospace,National Security,Defence,Ministry of Defence,"Armed Forces,Defence Manufacturers"
Trade & Manufacturing,Trade Policy,Commerce,Central Board of Indirect Taxes and Customs (CBIC),"Importers,Exporters,Domestic Industry"
All Sectors,Corporate Regulation,Cross-Sector,Ministry of Corporate Affairs,"All listed companies,Corporate Directors"
Aviation,Infrastructure Development,Aviation,Directorate General of Civil Aviation (DGCA),"Airlines,Passengers,Airport Operators,Logistics Companies"
Ports & Shipping,Infrastructure Development,Shipping,Ministry of Ports Shipping and Waterways,"Port Operators,Shipping Lines,Exporters,Importers"
Railways,Infrastructure Development,Railways,Ministry of Railways,"Commuters,Logistics Companies,Railway Employees"
Labour & Employment,Labour Policy,Labour & Employment,Ministry of Labour and Employment,"Employers,Employees,Trade Unions,MSMEs"
Governance & Public Administration,Governance & Public Administration,Public Administration,Ministry of Home Affairs,"General Public,Government Employees,Local Bodies"

