sector,keywords
Banking & Financial Services,"bank,banking,RBI,Reserve Bank,NBFC,credit,loan,deposit,NPA,insolvency,SARFAESI,IBC,financial institution,microfinance,cooperative bank,payment bank,small finance bank,lending,borrowing,interest rate,repo rate,CRR,SLR,priority sector"
Capital Markets,"SEBI,stock exchange,BSE,NSE,equity,IPO,FPO,mutual fund,hedge fund,portfolio,securities,debenture,bond,capital market,investor,shareholding,takeover,insider trading,market manipulation,depositories,clearing corporation"
Insurance,"insurance,IRDAI,life insurance,general insurance,health insurance,premium,actuarial,reinsurance,policyholder,claim,underwriting,annuity,pension"
Technology & IT Services,"technology,software,IT,information technology,digital,cloud,SaaS,data centre,artificial intelligence,AI,machine learning,algorithm,cybersecurity,cyber,startup,innovation,R&D,patent,intellectual property"
Data Protection & Privacy,"personal data,data protection,privacy,DPDP,data principal,data fiduciary,consent,data breach,right to erasure,cross-border data,data localisation,biometric data"
Telecommunications,"telecom,spectrum,5G,4G,broadband,internet,TRAI,DoT,interconnect,roaming,call drop,OTT,satellite,submarine cable,bandwidth,frequency,licence fee"
Healthcare & Pharmaceuticals,"health,healthcare,hospital,pharmaceutical,drug,medicine,medical device,clinical trial,FDA,CDSCO,generic drug,patent,pricing,doctor,hospital,diagnostics,medical education"
Infrastructure,"infrastructure,road,highway,bridge,tunnel,metro,railway,airport,port,logistics,warehouse,construction,cement,steel,real estate,housing,smart city,PPP,NHAI"
Energy,"energy,electricity,power,solar,wind,renewable,coal,oil,gas,petroleum,LPG,CNG,refinery,grid,transmission,distribution,tariff,subsidy,NTPC,green hydrogen,nuclear"
Agriculture,"agriculture,farmer,crop,seed,fertiliser,pesticide,irrigation,MSP,APMC,mandi,food security,grain,pulse,oilseed,horticulture,fishery,dairy,animal husbandry,agri-export"
Manufacturing,"manufacturing,factory,production,plant,industrial,PLI,Make in India,MSME,small enterprise,medium enterprise,labour,worker,compliance,pollution,effluent"
Consumer Goods & FMCG,"consumer,FMCG,food,beverage,retail,e-commerce,FDI,price cap,packaged goods,quality standard,BIS,labelling"
Environment,"environment,pollution,carbon,emission,climate,forest,wildlife,biodiversity,green,sustainability,ESG,waste management,plastic,recycling"
Education,"education,school,college,university,UGC,AICTE,curriculum,degree,skill,vocational,student,scholarship,fee regulation"
Media & Entertainment,"media,entertainment,OTT,streaming,broadcast,film,cinema,content,advertising,censorship,copyright,news"
Defence & Aerospace,"defence,military,army,navy,air force,DRDO,aerospace,weapon,ammunition,dual-use,export control,ordnance"
Trade & Manufacturing,"import,export,customs,tariff,duty,anti-dumping,safeguard,FTA,trade,WTO,SEZ,GST,indirect tax"
